City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Gemena,CD,74.59,overcast clouds,3.25,19.7667,Hôtel Goshen
435,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
439,Peruibe,BR,77.94,few clouds,-24.32,-46.9983,Hotel Pousada Xapuri
440,Codrington,AU,63.79,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
441,Seguin,US,83.46,overcast clouds,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
442,Itoman,JP,62.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
443,Menongue,AO,64.81,light rain,-14.6585,17.691,Ritz Lauca
448,Khetri,IN,65.1,overcast clouds,27.9833,75.8,Dinesh Rajoria
450,Canutama,BR,73.71,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
451,Roebourne,AU,84.52,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
453,Namibe,AO,71.33,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
454,Gorontalo,ID,77.67,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
455,Lethem,GY,80.94,scattered clouds,3.3803,-59.7968,Savannah Inn
456,Virginia Beach,US,80.64,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
457,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
458,Comendador,DO,72.32,broken clouds,18.8775,-71.7028,Babina De Los Santos
459,Barra Dos Coqueiros,BR,82.42,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
461,Bella Vista,US,62.47,moderate rain,36.4295,-94.2316,The Inn at Bella Vista
464,Bucerias,MX,80.58,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
465,Dangriga,BZ,82.36,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
467,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
470,Ouesso,CG,76.35,overcast clouds,1.6136,16.0517,ABENIE Hotel
471,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
472,Machali,CL,70.88,scattered clouds,-34.1833,-70.6667,Mining House
474,Kroya,ID,76.6,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
475,Wundanyi,KE,62.87,scattered clouds,-3.4019,38.364,Taita Rocks Hotel
476,Barsana,IN,63.95,overcast clouds,27.65,77.3833,Dhatariya Dharmshala
477,Roma,US,71.46,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
482,Half Moon Bay,US,67.5,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
483,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
487,Diamantino,BR,73.69,light rain,-14.4086,-56.4461,Hotel Delta
488,Parauna,BR,75.22,broken clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
490,Sholapur,IN,77.45,few clouds,17.6833,75.9167,OYO 39761 Mayura
491,Dicabisagan,PH,73.45,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
493,Tarata,BO,76.42,scattered clouds,-17.6167,-66.0167,Hacienda castillo
497,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
502,Colac,AU,61.63,overcast clouds,-38.3333,143.5833,Otway Gate Motel
504,Ailigandi,PA,78.85,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
506,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
507,Tingambato,MX,76.35,clear sky,19.5,-101.8667,Hojalateria Chavo Pereira
512,Dawei,MM,73.11,overcast clouds,14.0833,98.2,Hotel Dawei
513,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
515,Lakhisarai,IN,63.09,clear sky,25.1768,86.0932,Hotel DRS Deluxe
516,Dumai,ID,74.64,overcast clouds,1.6833,101.45,Grand Zuri Dumai
517,Asosa,ET,74.35,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
520,Saint-Marc,HT,81.75,broken clouds,19.1082,-72.6938,Maguana Hotel
521,San Jose,US,67.44,few clouds,37.3394,-121.895,The Westin San Jose
524,Ewo,CG,75.96,moderate rain,-0.8725,14.8206,Residence Elonda Ewo
