City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,87,0,8.05,clear sky
159,Sidrolandia,BR,-20.9319,-54.9614,83.19,56,90,5.21,overcast clouds
160,Tura,IN,25.5198,90.2201,65.21,39,0,4.88,clear sky
161,Esperance,AU,-33.8667,121.9,62.06,90,3,6.69,clear sky
162,Takoradi,GH,4.8845,-1.7554,80.42,85,2,7.23,clear sky
163,Sioux Lookout,CA,50.1001,-91.917,25.18,63,100,11.5,overcast clouds
164,Otradnoye,RU,59.7775,30.8181,32.88,97,94,4.09,overcast clouds
165,Hobyo,SO,5.3505,48.5268,78.19,68,87,15.86,overcast clouds
166,Avera,US,33.194,-82.5271,82.71,42,0,8.14,clear sky
167,Madang,PG,-5.2246,145.7966,77.32,88,100,4.23,light rain
168,Kathmandu,NP,27.7167,85.3167,53.82,94,20,2.3,mist
169,Rawson,AR,-43.3002,-65.1023,75.33,29,33,17.54,scattered clouds
170,Kodiak,US,57.79,-152.4072,44.11,33,0,8.05,clear sky
171,Vardo,NO,70.3705,31.1107,12.4,65,100,14.09,overcast clouds
172,Dunedin,NZ,-45.8742,170.5036,53.8,80,100,3.0,overcast clouds
173,Poum,NC,-20.2333,164.0167,81.05,68,21,11.27,few clouds
174,Mount Isa,AU,-20.7333,139.5,78.57,31,5,12.66,clear sky
175,Bredasdorp,ZA,-34.5322,20.0403,69.28,78,1,11.5,clear sky
176,Iida,JP,35.5197,137.8207,36.46,87,3,3.83,clear sky
177,Bone,DE,51.9669,12.1396,33.26,73,85,4.27,overcast clouds
178,Nyurba,RU,63.2842,118.3319,-17.95,100,49,4.52,scattered clouds
179,Sisimiut,GL,66.9395,-53.6735,10.29,91,100,19.35,overcast clouds
180,Maraa,BR,-1.8333,-65.3667,80.13,84,91,1.12,moderate rain
181,Teknaf,BD,20.8624,92.3058,68.95,49,38,8.34,scattered clouds
182,Puri,IN,19.8,85.85,75.72,69,1,2.04,clear sky
183,Srednekolymsk,RU,67.45,153.6833,-30.44,100,92,5.37,overcast clouds
184,Nelson Bay,AU,-32.7167,152.15,77.05,94,98,1.99,overcast clouds
185,Odweyne,SO,9.4092,45.064,67.5,45,12,1.28,few clouds
186,Pemba,MZ,-12.974,40.5178,75.9,88,40,3.44,scattered clouds
187,Wagar,SD,16.1525,36.2032,80.65,46,16,11.48,few clouds
188,Dikson,RU,73.5069,80.5464,-18.42,100,94,6.02,overcast clouds
189,Camacha,PT,33.0833,-16.3333,56.62,67,75,11.5,broken clouds
190,Tiksi,RU,71.6872,128.8694,-24.27,97,51,1.48,broken clouds
191,Baghdad,IQ,33.3406,44.4009,64.31,45,75,13.8,broken clouds
192,Dariba,IN,24.95,74.1333,65.59,21,89,3.2,overcast clouds
193,Talnakh,RU,69.4865,88.3972,-28.82,98,40,3.0,scattered clouds
194,Zhezkazgan,KZ,47.8043,67.7144,30.15,90,96,18.88,overcast clouds
195,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,14.97,broken clouds
196,Rocha,UY,-34.4833,-54.3333,69.46,87,100,6.58,overcast clouds
197,Nishihara,JP,26.1842,127.7558,61.88,72,100,10.36,overcast clouds
198,Inuvik,CA,68.3499,-133.7218,16.66,79,75,5.75,light snow
199,Maceio,BR,-9.6658,-35.7353,78.24,78,40,4.61,scattered clouds
200,Byron Bay,AU,-28.65,153.6167,78.75,90,54,5.03,broken clouds
201,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,33.94,99,100,17.63,light snow
202,Tuatapere,NZ,-46.1333,167.6833,52.83,86,100,5.57,overcast clouds
203,Tongchuan,CN,35.0806,109.0897,42.26,43,0,5.7,clear sky
204,Shingu,JP,33.7333,135.9833,40.91,63,85,6.26,overcast clouds
205,Oranjemund,NA,-28.55,16.4333,66.4,94,38,7.02,scattered clouds
206,Sirjan,IR,29.452,55.6814,51.17,39,5,4.88,clear sky
207,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,6.91,clear sky
208,Rosarito,MX,32.3333,-117.0333,63.64,55,8,8.95,clear sky
209,Iqaluit,CA,63.7506,-68.5145,-17.03,91,10,7.29,clear sky
210,Namatanai,PG,-3.6667,152.4333,81.86,73,79,3.11,broken clouds
211,Jinxiang,CN,27.4327,120.6062,47.41,91,100,9.64,overcast clouds
212,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,75,9.22,broken clouds
213,La Paz,BO,-16.5,-68.15,64.38,36,40,6.91,scattered clouds
214,Jaunjelgava,LV,56.6167,25.0833,31.5,94,11,7.36,few clouds
215,Borba,BR,-4.3878,-59.5939,77.32,92,95,1.25,overcast clouds
216,Vitre,FR,48.1178,-1.2058,36.48,76,8,8.86,clear sky
217,Beloha,MG,-25.1667,45.05,73.27,91,39,10.49,scattered clouds
218,Sola,VU,-13.8833,167.55,83.37,71,50,6.55,scattered clouds
219,Parkes,AU,-33.1333,148.1833,70.36,72,100,1.01,overcast clouds
220,Cayenne,GF,4.9333,-52.3333,75.24,92,75,5.01,light rain
221,Viedma,AR,-40.8135,-62.9967,79.05,17,100,13.76,overcast clouds
222,Akyab,MM,20.15,92.9,71.08,44,74,7.29,broken clouds
223,Mitzic,GA,0.7821,11.549,69.08,98,87,3.53,moderate rain
224,Jacareacanga,BR,-6.2222,-57.7528,77.0,91,93,0.74,overcast clouds
225,Luwuk,ID,-0.9516,122.7875,77.16,91,97,4.43,heavy intensity rain
226,Segezha,RU,63.7415,34.3222,6.42,99,91,6.76,overcast clouds
227,Terrace,CA,54.5163,-128.6035,48.11,61,75,14.97,broken clouds
228,El Alto,PE,-4.2714,-81.2147,78.46,72,100,6.17,overcast clouds
229,Anchorage,US,61.2181,-149.9003,36.99,63,0,8.05,clear sky
230,Ambovombe,MG,-25.1667,46.0833,73.26,91,2,9.22,clear sky
231,Buraydah,SA,26.326,43.975,77.45,22,95,14.54,overcast clouds
232,Faya,SA,18.3851,42.4509,57.31,66,11,1.97,few clouds
233,Kropotkin,RU,45.4375,40.5756,31.53,70,3,5.28,clear sky
234,Pochutla,MX,15.7432,-96.4661,89.82,43,2,9.19,clear sky
235,Fairbanks,US,64.8378,-147.7164,30.09,73,100,10.36,overcast clouds
236,Linqiong,CN,30.4159,103.4609,48.02,75,0,2.57,clear sky
237,Tigre,AR,-34.426,-58.5796,78.28,86,0,10.36,clear sky
238,Jizan,SA,17.3333,42.6667,77.94,61,47,4.68,scattered clouds
239,Tadine,NC,-21.55,167.8833,80.8,74,24,2.93,few clouds
240,Tazmalt,DZ,36.3868,4.3989,45.23,88,73,3.36,broken clouds
241,Genhe,CN,50.7833,121.5167,-6.45,100,62,1.16,broken clouds
242,Broken Hill,AU,-31.95,141.4333,65.61,71,0,16.08,clear sky
243,Gambela,ET,8.25,34.5833,86.07,29,100,2.59,overcast clouds
244,Mbini,GQ,1.574,9.6134,78.64,79,100,3.31,overcast clouds
245,Cairo,EG,30.0626,31.2497,61.56,87,40,9.22,scattered clouds
246,Yar-Sale,RU,66.8333,70.8333,-25.83,100,89,9.1,overcast clouds
247,Les Cayes,HT,18.2,-73.75,80.24,69,19,7.47,few clouds
248,Marfino,RU,55.7028,37.3822,29.48,58,75,6.71,broken clouds
249,Tela,HN,15.7833,-87.45,87.08,70,40,8.05,scattered clouds
250,Ketchikan,US,55.3422,-131.6461,43.27,81,100,12.66,overcast clouds
251,Castanos,MX,26.7833,-101.4167,95.79,7,0,7.7,clear sky
252,Ardakan,IR,32.31,54.0175,55.78,22,74,1.68,broken clouds
